text    labels
同感 ， 我 经常 开 s 60 L ， 高速 很 爽 ， 动力 强 . 市区 转弯 不方便 ， 停车 也 麻烦 ， 就是 因为 转弯 半径 太大	动力
价格 差不多 明显 车 要好 不少	价格
我 有 一 辆 10 年 的 2.5 豪华 导航 版 的 。 一点 问题 都 没有 阿 。	配置
我 在 山西 太原 ， 多少 钱 ， 保险 到 啥 时候 ？ 保养 如何 ？ 价格 多少 ？	价格
U 盘 播放 的 话 ， 屏幕 上 有 曲 名 吗 ？ 目前 用 蓝牙 播 中控 上 连歌 名 都 无法 显示 ， 真 恶心	配置
同 为 2.0 ， 一万 公里 ， 平均 油耗 8.6	油耗
森林 人 比 荣 放好 太多 了 ， 当然 价格 也 好 很多 丰田 不知 怎么 搞 的 ， 整个 车系 全部 丑 的 让 人 撇嘴	价格
视野 好 ， 底盘 高 ， 外观 耐看 。	外观|操控
肯定 还 烧 ， 但愿 到 两 年 后 烧 机油 的 车友多 了 触发 召回 ， 那就爽 了 ……	动力
这 也 是 18 款 我 最喜欢 的 一个 配置	配置
油耗 跟 路况 、 驾驶 习惯 、 气候 、 载重 、 油质 、 是否 开 空调 等 都 有 关系 ， 建议 您 多 看 一汽 车之 家 的 用户 口碑 ， 也 可以 问 一 问 身边 开 这 车 的 人 。	油耗
肯定 自己 开 省油 。。。 上坡 前 可以 有意识 加速 冲破 ， 坡 中 松 油 ； 下坡 也 可 完全 松 油 。。。 定 速 巡航 就 做 不到 了	动力
按理说 ， 宽 一 号 ， 接触 面广 了 ， 摩擦 大 了 对 刹车 应该 更好 。 就是 担心 影响 转向	操控
在 这里 有一点 疑问 ， 就是 4 S 换 的 是 方向盘 角度 传感器 还是 气囊 游丝 ， 还是 两者 都 换 了 ， 按理 拆 方向盘 ， 可能 损坏 的 是 气囊 游丝 ， 如果 方向盘 角度 传感器 都会 坏 ， 就 有点 不可 理解 了 ， 除非 是 两者 安装 有 问题 。 附 两者 图片 ： 图片 已 删除 左 是 方向盘 传感器 ， 右 是 气囊 游丝 ， 安装 时左 在 下面 ， 右 在 上面	操控|安全性
09 - 12 款 都 合适 ， 价格 800 元 物流 到 付	价格
